instrument,class,adduct,fragment,ParKey,ParValue
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 179.1076,model,dlnormPar
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 179.1076,scale,0.257631626
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 179.1076,sdlog,0.526077399
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 179.1076,shift,6.392279876
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 208.1103,meanlog,5.589856594
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 208.1103,model,dlnormPar
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 208.1103,scale,0.059487011
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 208.1103,sdlog,0.036315171
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 208.1103,shift,250
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 208.1103,meanlog,5.287446998
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 208.1103,model,dlnormPar
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 208.1103,scale,0.042714846
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 208.1103,sdlog,0.025028123
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 208.1103,shift,185.7698772
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 214.2494,meanlog,5.650712065
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 214.2494,model,dlnormPar
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 214.2494,scale,0.017810765
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 214.2494,sdlog,0.04497426
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 214.2494,shift,250
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 214.2494,meanlog,8.425711712
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 214.2494,model,dlnormPar
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 214.2494,scale,2
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 214.2494,sdlog,0.777772338
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 214.2494,shift,250
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 268.2963,meanlog,5.615816488
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 268.2963,model,dlnormPar
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 268.2963,scale,0.076489858
